"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-01","China","中国",82724,3327
"2020-04-01","Republic of Korea","大韩民国",9976,169
"2020-04-01","Australia","澳大利亚",4976,21
"2020-04-01","Malaysia","马来西亚",2908,45
"2020-04-01","Japan","日本",2384,57
"2020-04-01","Philippines","菲律宾",2311,96
"2020-04-01","Singapore","新加坡",1000,3
"2020-04-01","New Zealand","新西兰",723,1
"2020-04-01","Viet Nam","越南",222,0
"2020-04-01","Brunei Darussalam","文莱达鲁萨兰国",131,1
"2020-04-01","Cambodia","柬埔寨",109,0
"2020-04-01","Guam","关岛
",77,3
"2020-04-01","French Polynesia","法属波利尼西亚
",37,0
"2020-04-01","New Caledonia","新喀里多尼亚
",17,0
"2020-04-01","Mongolia","蒙古",14,0
"2020-04-01","Lao People's Democratic Republic","老挝人民民主共和国",10,0
"2020-04-01","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",6,0
"2020-04-01","Fiji","斐济",5,0
"2020-04-01","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-01","Italy","意大利",110574,13157
"2020-04-01","Spain","西班牙",102136,9053
"2020-04-01","Germany","德国",73522,872
"2020-04-01","France","法国",56261,4019
"2020-04-01","The United Kingdom","大不列颠及北爱尔兰联合王国",29478,2532
"2020-04-01","Switzerland","瑞士",17070,378
"2020-04-01","Turkey","土耳其",15679,277
"2020-04-01","Belgium","比利时",13964,828
"2020-04-01","Netherlands","荷兰",13614,1173
"2020-04-01","Austria","奥地利",10711,146
"2020-04-01","Portugal","葡萄牙",8251,187
"2020-04-01","Israel","以色列",5591,21
"2020-04-01","Sweden","瑞典",4947,239
"2020-04-01","Norway","挪威",4665,32
"2020-04-01","Czechia","捷克",3589,39
"2020-04-01","Ireland","爱尔兰",3447,85
"2020-04-01","Denmark","丹麦",3107,104
"2020-04-01","Russian Federation","俄罗斯联邦",2777,24
"2020-04-01","Poland","波兰",2554,43
"2020-04-01","Romania","罗马尼亚",2460,85
"2020-04-01","Luxembourg","卢森堡",2319,29
"2020-04-01","Finland","芬兰",1446,17
"2020-04-01","Greece","希腊",1375,50
"2020-04-01","Iceland","冰岛",1220,2
"2020-04-01","Serbia","塞尔维亚",1060,13
"2020-04-01","Croatia","克罗地亚",963,6
"2020-04-01","Slovenia","斯洛文尼亚",841,15
"2020-04-01","Ukraine","乌克兰",804,20
"2020-04-01","Estonia","爱沙尼亚",779,5
"2020-04-01","Lithuania","立陶宛",581,8
"2020-04-01","Armenia","亚美尼亚",571,3
"2020-04-01","Hungary","匈牙利",525,20
"2020-04-01","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",464,13
"2020-04-01","Latvia","拉脱维亚",446,0
"2020-04-01","Republic of Moldova","摩尔多瓦共和国",423,5
"2020-04-01","Bulgaria","保加利亚",422,10
"2020-04-01","Slovakia","斯洛伐克",400,0
"2020-04-01","Andorra","安道尔",396,13
"2020-04-01","Kazakhstan","哈萨克斯坦",386,3
