"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-22","China","中国",81603,3276
"2020-03-22","Republic of Korea","大韩民国",8961,111
"2020-03-22","Australia","澳大利亚",1709,7
"2020-03-22","Malaysia","马来西亚",1306,11
"2020-03-22","Japan","日本",1089,41
"2020-03-22","Singapore","新加坡",455,2
"2020-03-22","Philippines","菲律宾",396,33
"2020-03-22","Viet Nam","越南",118,0
"2020-03-22","New Zealand","新西兰",102,0
"2020-03-22","Brunei Darussalam","文莱达鲁萨兰国",88,0
"2020-03-22","Cambodia","柬埔寨",86,0
"2020-03-22","Guam","关岛
",27,1
"2020-03-22","French Polynesia","法属波利尼西亚
",18,0
"2020-03-22","Mongolia","蒙古",10,0
"2020-03-22","New Caledonia","新喀里多尼亚
",7,0
"2020-03-22","Fiji","斐济",3,0
"2020-03-22","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-22","Italy","意大利",59138,5476
"2020-03-22","Spain","西班牙",28572,1720
"2020-03-22","Germany","德国",24774,94
"2020-03-22","France","法国",15821,674
"2020-03-22","Switzerland","瑞士",6971,60
"2020-03-22","The United Kingdom","大不列颠及北爱尔兰联合王国",5687,281
"2020-03-22","Netherlands","荷兰",4204,179
"2020-03-22","Austria","奥地利",3631,16
"2020-03-22","Belgium","比利时",3401,75
"2020-03-22","Norway","挪威",2132,7
"2020-03-22","Sweden","瑞典",1906,21
"2020-03-22","Portugal","葡萄牙",1600,14
"2020-03-22","Denmark","丹麦",1395,13
"2020-03-22","Turkey","土耳其",1236,30
"2020-03-22","Czechia","捷克",1165,1
"2020-03-22","Israel","以色列",1071,1
"2020-03-22","Ireland","爱尔兰",906,4
"2020-03-22","Luxembourg","卢森堡",798,8
"2020-03-22","Poland","波兰",634,7
"2020-03-22","Finland","芬兰",626,1
"2020-03-22","Greece","希腊",624,15
"2020-03-22","Iceland","冰岛",568,1
"2020-03-22","Russian Federation","俄罗斯联邦",438,0
"2020-03-22","Romania","罗马尼亚",433,2
"2020-03-22","Slovenia","斯洛文尼亚",414,1
"2020-03-22","Estonia","爱沙尼亚",326,0
"2020-03-22","Croatia","克罗地亚",235,1
"2020-03-22","Serbia","塞尔维亚",219,1
"2020-03-22","Armenia","亚美尼亚",190,0
"2020-03-22","Bulgaria","保加利亚",185,3
"2020-03-22","Slovakia","斯洛伐克",185,0
"2020-03-22","Hungary","匈牙利",167,7
"2020-03-22","San Marino","圣马力诺",151,20
"2020-03-22","Lithuania","立陶宛",143,1
"2020-03-22","Latvia","拉脱维亚",139,0
"2020-03-22","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",125,1
"2020-03-22","Faroe Islands","法罗群岛
",115,0
"2020-03-22","North Macedonia","北马其顿",114,1
"2020-03-22","Andorra","安道尔",113,0
"2020-03-22","Cyprus","塞浦路斯",95,0
"2020-03-22","Republic of Moldova","摩尔多瓦共和国",94,1
"2020-03-22","Malta","马耳他",90,0
"2020-03-22","Albania","阿尔巴尼亚",89,2
"2020-03-22","Belarus","白俄罗斯",76,0
"2020-03-22","Azerbaijan","阿塞拜疆",65,1
"2020-03-22","Kazakhstan","哈萨克斯坦",60,0
"2020-03-22","Georgia","格鲁吉亚",54,0
"2020-03-22","Ukraine","乌克兰",47,3
"2020-03-22","Liechtenstein","列支敦士登
",46,0
"2020-03-22","Uzbekistan","乌兹别克斯坦",46,0
"2020-03-22","Monaco","摩纳哥",23,0
"2020-03-22","Montenegro","黑山",21,0
"2020-03-22","Guernsey","根西岛
",17,0
"2020-03-22","Gibraltar","直布罗陀
",15,0
"2020-03-22","Jersey","泽西岛
",15,0
"2020-03-22","Kyrgyzstan","吉尔吉斯斯坦",14,0
