"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-26","Afghanistan","阿富汗",91,2
"2020-03-26","Albania","阿尔巴尼亚",186,8
"2020-03-26","Algeria","阿尔及利亚",305,21
"2020-03-26","Andorra","安道尔",231,3
"2020-03-26","Angola","安哥拉",2,0
"2020-03-26","Anguilla","安圭拉
",2,0
"2020-03-26","Antigua and Barbuda","安提瓜和巴布达",3,0
"2020-03-26","Argentina","阿根廷 ",502,8
"2020-03-26","Armenia","亚美尼亚",329,1
"2020-03-26","Aruba","阿鲁巴
",19,0
"2020-03-26","Australia","澳大利亚",2985,13
"2020-03-26","Austria","奥地利",7029,52
"2020-03-26","Azerbaijan","阿塞拜疆",122,3
"2020-03-26","Bahamas","巴哈马",5,0
"2020-03-26","Bahrain","巴林",466,4
"2020-03-26","Bangladesh","孟加拉国",48,5
"2020-03-26","Barbados","巴巴多斯",18,0
"2020-03-26","Belarus","白俄罗斯",86,0
"2020-03-26","Belgium","比利时",6235,220
"2020-03-26","Belize","伯利兹",2,0
"2020-03-26","Benin","贝宁",6,0
"2020-03-26","Bermuda","百慕大
",7,0
"2020-03-26","Bhutan","不丹",3,0
"2020-03-26","Bolivia (Plurinational State of)","玻利维亚（多民族国）",39,0
"2020-03-26","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",213,3
"2020-03-26","Brazil","巴西",2433,57
"2020-03-26","British Virgin Islands","英属维尔京群岛
",2,0
"2020-03-26","Brunei Darussalam","文莱达鲁萨兰国",114,0
"2020-03-26","Bulgaria","保加利亚",264,3
"2020-03-26","Burkina Faso","布基纳法索",146,3
"2020-03-26","Cabo Verde","佛得角",3,0
"2020-03-26","Cambodia","柬埔寨",98,0
"2020-03-26","Cameroon","喀麦隆",75,1
"2020-03-26","Canada","加拿大",3555,35
"2020-03-26","Cayman Islands","开曼群岛
",8,1
"2020-03-26","Central African Republic","中非共和国",5,0
"2020-03-26","Chad","乍得",5,0
"2020-03-26","Chile","智利",1306,4
"2020-03-26","China","中国",82093,3298
"2020-03-26","Colombia","哥伦比亚",470,4
"2020-03-26","Congo","刚果",4,0
"2020-03-26","Costa Rica","哥斯达黎加",201,2
"2020-03-26","Côte d’Ivoire","科特迪瓦",80,0
"2020-03-26","Croatia","克罗地亚",495,2
"2020-03-26","Cuba","古巴",67,1
"2020-03-26","Curacao","库拉索岛
",7,1
"2020-03-26","Cyprus","塞浦路斯",146,3
"2020-03-26","Czechia","捷克",2062,9
"2020-03-26","Democratic Republic of the Congo","刚果民主共和国",54,4
"2020-03-26","Denmark","丹麦",1877,41
"2020-03-26","Djibouti","吉布提",13,0
"2020-03-26","Dominica","多米尼克",11,0
"2020-03-26","Dominican Republic","多米尼加 ",488,10
"2020-03-26","Ecuador","厄瓜多尔",1211,29
"2020-03-26","Egypt","埃及",495,24
"2020-03-26","El Salvador","萨尔瓦多",13,0
"2020-03-26","Equatorial Guinea","赤道几内亚",6,0
"2020-03-26","Eritrea","厄立特里亚",6,0
"2020-03-26","Estonia","爱沙尼亚",538,1
"2020-03-26","Eswatini","斯威士兰",6,0
"2020-03-26","Ethiopia","埃塞俄比亚",12,0
"2020-03-26","Faroe Islands","法罗群岛
",140,0
"2020-03-26","Fiji","斐济",5,0
"2020-03-26","Finland","芬兰",958,4
"2020-03-26","France","法国",28786,1695
"2020-03-26","French Guiana","法属圭亚那
",28,0
"2020-03-26","French Polynesia","法属波利尼西亚
",30,0
"2020-03-26","Gabon","加蓬",6,1
"2020-03-26","Gambia","冈比亚",2,0
"2020-03-26","Georgia","格鲁吉亚",81,0
"2020-03-26","Germany","德国",42288,253
"2020-03-26","Ghana","加纳",136,3
"2020-03-26","Gibraltar","直布罗陀
",35,0
"2020-03-26","Greece","希腊",892,26
"2020-03-26","Greenland","格陵兰岛
",6,0
"2020-03-26","Grenada","格林纳达",7,0
"2020-03-26","Guadeloupe","瓜德罗普岛
",76,0
"2020-03-26","Guam","关岛
",45,1
"2020-03-26","Guatemala","危地马拉",24,1
"2020-03-26","Guernsey","根西岛
",34,0
"2020-03-26","Guinea","几内亚",5,0
"2020-03-26","Guinea-Bissau","几内亚比绍",2,0
"2020-03-26","Guyana","圭亚那",5,1
"2020-03-26","Haiti","海地",8,0
"2020-03-26","Holy See","梵蒂冈
",4,0
"2020-03-26","Honduras","洪都拉斯",52,1
"2020-03-26","Hungary","匈牙利",300,10
"2020-03-26","Iceland","冰岛",802,2
