"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-09","Afghanistan","阿富汗",4,0
"2020-03-09","Albania","阿尔巴尼亚",6,0
"2020-03-09","Algeria","阿尔及利亚",20,0
"2020-03-09","Andorra","安道尔",1,0
"2020-03-09","Argentina","阿根廷 ",12,1
"2020-03-09","Armenia","亚美尼亚",1,0
"2020-03-09","Australia","澳大利亚",92,3
"2020-03-09","Austria","奥地利",131,0
"2020-03-09","Azerbaijan","阿塞拜疆",9,0
"2020-03-09","Bahrain","巴林",109,0
"2020-03-09","Bangladesh","孟加拉国",3,0
"2020-03-09","Belarus","白俄罗斯",9,0
"2020-03-09","Belgium","比利时",239,0
"2020-03-09","Bhutan","不丹",1,0
"2020-03-09","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",2,0
"2020-03-09","Brazil","巴西",25,0
"2020-03-09","Bulgaria","保加利亚",4,0
"2020-03-09","Cambodia","柬埔寨",3,0
"2020-03-09","Cameroon","喀麦隆",2,0
"2020-03-09","Canada","加拿大",77,0
"2020-03-09","Chile","智利",13,0
"2020-03-09","China","中国",80924,3140
"2020-03-09","Colombia","哥伦比亚",3,0
"2020-03-09","Costa Rica","哥斯达黎加",9,0
"2020-03-09","Croatia","克罗地亚",12,0
"2020-03-09","Czech Republic","捷克",38,0
"2020-03-09","Denmark","丹麦",156,0
"2020-03-09","Dominican Republic","多米尼加 ",5,0
"2020-03-09","Ecuador","厄瓜多尔",15,0
"2020-03-09","Egypt","埃及",59,1
"2020-03-09","Estonia","爱沙尼亚",10,0
"2020-03-09","Faroe Islands","Faroe Islands",2,0
"2020-03-09","Finland","芬兰",40,0
"2020-03-09","France","法国",1402,30
"2020-03-09","French Guiana","French Guiana",5,0
"2020-03-09","Georgia","格鲁吉亚",15,0
"2020-03-09","Germany","德国",1139,2
"2020-03-09","Gibraltar","Gibraltar",1,0
"2020-03-09","Greece","希腊",89,0
"2020-03-09","Holy See","Holy See",1,0
"2020-03-09","Hungary","匈牙利",12,0
"2020-03-09","Iceland","冰岛",55,0
"2020-03-09","India","印度",44,0
"2020-03-09","Indonesia","印度尼西亚",19,0
"2020-03-09","International conveyance (Diamond Princess)","International conveyance (Diamond Princess)",696,7
"2020-03-09","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",7161,237
"2020-03-09","Iraq","伊拉克",61,6
"2020-03-09","Ireland","爱尔兰",24,0
"2020-03-09","Israel","以色列",39,0
"2020-03-09","Italy","意大利",9172,463
"2020-03-09","Japan","日本",514,9
"2020-03-09","Jordan","约旦",1,0
"2020-03-09","Kuwait","科威特",65,0
"2020-03-09","Latvia","拉脱维亚",8,0
"2020-03-09","Lebanon","黎巴嫩",41,0
"2020-03-09","Liechtenstein","Liechtenstein",1,0
"2020-03-09","Lithuania","立陶宛",1,0
"2020-03-09","Luxembourg","卢森堡",5,0
"2020-03-09","Malaysia","马来西亚",117,0
"2020-03-09","Maldives","马尔代夫",6,0
"2020-03-09","Malta","马耳他",4,0
"2020-03-09","Martinique","Martinique",2,0
"2020-03-09","Mexico","墨西哥",7,0
"2020-03-09","Monaco","摩纳哥",1,0
"2020-03-09","Morocco","摩洛哥",2,0
"2020-03-09","Nepal","尼泊尔",1,0
"2020-03-09","Netherlands","荷兰",321,3
"2020-03-09","New Zealand","新西兰",5,0
"2020-03-09","Nigeria","尼日利亚",2,0
"2020-03-09","North Macedonia","北马其顿",7,0
"2020-03-09","Norway","挪威",192,0
"2020-03-09","occupied Palestinian territory","occupied Palestinian territory",26,0
"2020-03-09","Oman","阿曼",18,0
"2020-03-09","Pakistan","巴基斯坦",16,0
"2020-03-09","Paraguay","巴拉圭",1,0
"2020-03-09","Peru","秘鲁",9,0
"2020-03-09","Philippines","菲律宾",33,1
"2020-03-09","Poland","波兰",16,0
"2020-03-09","Portugal","葡萄牙",30,0
"2020-03-09","Qatar","卡塔尔",18,0
"2020-03-09","Republic of Korea","大韩民国",7513,54
"2020-03-09","Republic of Moldova","摩尔多瓦共和国",1,0
"2020-03-09","Romania","罗马尼亚",17,0
"2020-03-09","Russian Federation","俄罗斯联邦",7,0
"2020-03-09","Saint Barthelemy","Saint Barthélemy",1,0
"2020-03-09","Saint Martin","Saint Martin",2,0
"2020-03-09","San Marino","圣马力诺",49,2
"2020-03-09","Saudi Arabia","沙特阿拉伯",15,0
"2020-03-09","Senegal","塞内加尔",4,0
"2020-03-09","Serbia","塞尔维亚",1,0
"2020-03-09","Singapore","新加坡",160,0
"2020-03-09","Slovakia","斯洛伐克",7,0
"2020-03-09","Slovenia","斯洛文尼亚",23,0
"2020-03-09","South Africa","南非",7,0
"2020-03-09","Spain","西班牙",1024,28
"2020-03-09","Sri Lanka","斯里兰卡",1,0
"2020-03-09","Sweden","瑞典",248,0
"2020-03-09","Switzerland","瑞士",332,2
"2020-03-09","Thailand","泰国",53,1
"2020-03-09","Togo","多哥",1,0
"2020-03-09","Tunisia","突尼斯",2,0
"2020-03-09","Ukraine","乌克兰",1,0
"2020-03-09","United Arab Emirates","阿拉伯联合酋长国",59,0
"2020-03-09","United Kingdom","大不列颠及北爱尔兰联合王国",373,6
"2020-03-09","United States of America","美利坚合众国",472,19
"2020-03-09","Viet Nam","越南",31,0
"2020-03-09","Guernsey","Guernsey",1,0
"2020-03-09","Panama","巴拿马",1,0
"2020-03-09","Mongolia","蒙古",1,0
"2020-03-09","Brunei Darussalam","文莱达鲁萨兰国",1,0
"2020-03-09","Cyprus","塞浦路斯",2,0
