"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-12","China","中国",83597,3351
"2020-04-12","Republic of Korea","大韩民国",10537,217
"2020-04-12","Japan","日本",7255,102
"2020-04-12","Australia","澳大利亚",6322,61
"2020-04-12","Malaysia","马来西亚",4683,76
"2020-04-12","Philippines","菲律宾",4648,297
"2020-04-12","Singapore","新加坡",2532,8
"2020-04-12","New Zealand","新西兰",1064,5
"2020-04-12","Viet Nam","越南",262,0
"2020-04-12","Brunei Darussalam","文莱达鲁萨兰国",136,1
"2020-04-12","Cambodia","柬埔寨",122,0
"2020-04-12","Lao People's Democratic Republic","老挝人民民主共和国",19,0
"2020-04-12","Fiji","斐济",16,0
"2020-04-12","Mongolia","蒙古",16,0
"2020-04-12","Papua New Guinea","巴布亚新几内亚",2,0
"2020-04-12","Guam","关岛
",133,5
"2020-04-12","French Polynesia","法属波利尼西亚
",53,0
"2020-04-12","New Caledonia","新喀里多尼亚
",18,0
"2020-04-12","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",11,2
"2020-04-12","Spain","西班牙",161852,16353
"2020-04-12","Italy","意大利",152271,19470
"2020-04-12","Germany","德国",120479,2673
"2020-04-12","France","法国",92787,13814
"2020-04-12","The United Kingdom","大不列颠及北爱尔兰联合王国",78995,9875
"2020-04-12","Turkey","土耳其",52167,1101
"2020-04-12","Belgium","比利时",28018,3346
"2020-04-12","Switzerland","瑞士",24820,831
"2020-04-12","Netherlands","荷兰",24413,2643
"2020-04-12","Portugal","葡萄牙",15987,470
"2020-04-12","Russian Federation","俄罗斯联邦",15770,130
"2020-04-12","Austria","奥地利",13807,337
"2020-04-12","Israel","以色列",10525,96
"2020-04-12","Sweden","瑞典",10151,887
"2020-04-12","Ireland","爱尔兰",8928,320
"2020-04-12","Poland","波兰",6356,208
"2020-04-12","Norway","挪威",6320,98
"2020-04-12","Denmark","丹麦",5996,260
"2020-04-12","Romania","罗马尼亚",5990,282
"2020-04-12","Czechia","捷克",5902,129
"2020-04-12","Serbia","塞尔维亚",3380,74
"2020-04-12","Luxembourg","卢森堡",3270,62
"2020-04-12","Finland","芬兰",2905,49
"2020-04-12","Ukraine","乌克兰",2777,83
"2020-04-12","Belarus","白俄罗斯",2226,23
"2020-04-12","Greece","希腊",2081,93
"2020-04-12","Iceland","冰岛",1689,8
"2020-04-12","Republic of Moldova","摩尔多瓦共和国",1560,30
"2020-04-12","Croatia","克罗地亚",1534,21
"2020-04-12","Hungary","匈牙利",1410,99
"2020-04-12","Estonia","爱沙尼亚",1304,24
"2020-04-12","Slovenia","斯洛文尼亚",1188,50
"2020-04-12","Azerbaijan","阿塞拜疆",1058,11
"2020-04-12","Lithuania","立陶宛",1053,23
"2020-04-12","Armenia","亚美尼亚",1013,13
"2020-04-12","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",948,37
"2020-04-12","Kazakhstan","哈萨克斯坦",897,10
"2020-04-12","North Macedonia","北马其顿",828,34
"2020-04-12","Uzbekistan","乌兹别克斯坦",796,3
"2020-04-12","Slovakia","斯洛伐克",728,2
"2020-04-12","Bulgaria","保加利亚",661,28
"2020-04-12","Latvia","拉脱维亚",630,3
"2020-04-12","Andorra","安道尔",622,28
"2020-04-12","Cyprus","塞浦路斯",616,15
"2020-04-12","Albania","阿尔巴尼亚",446,23
"2020-04-12","Kyrgyzstan","吉尔吉斯斯坦",377,5
"2020-04-12","Malta","马耳他",370,3
"2020-04-12","San Marino","圣马力诺",356,35
"2020-04-12","Montenegro","黑山",262,2
"2020-04-12","Georgia","格鲁吉亚",252,3
"2020-04-12","Liechtenstein","列支敦士登
",80,1
"2020-04-12","Monaco","摩纳哥",54,0
"2020-04-12","Holy See","梵蒂冈
",8,0
"2020-04-12","Kosovo[1]","科索沃[1]",283,7
"2020-04-12","Isle of Man","马恩岛
",204,1
"2020-04-12","Guernsey","根西岛
",200,6
"2020-04-12","Jersey","泽西岛
",198,4
"2020-04-12","Faroe Islands","法罗群岛
",184,0
"2020-04-12","Gibraltar","直布罗陀
",113,1
"2020-04-12","Greenland","格陵兰岛
",11,0
"2020-04-12","India","印度",8356,273
"2020-04-12","Indonesia","印度尼西亚",4241,373
"2020-04-12","Thailand","泰国",2551,38
"2020-04-12","Bangladesh","孟加拉国",621,34
"2020-04-12","Sri Lanka","斯里兰卡",199,7
"2020-04-12","Myanmar","缅甸",38,3
"2020-04-12","Maldives","马尔代夫",20,0
"2020-04-12","Nepal","尼泊尔",12,0
"2020-04-12","Bhutan","不丹",5,0
"2020-04-12","Timor-Leste","东帝汶",2,0
"2020-04-12","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",71686,4474
"2020-04-12","Pakistan","巴基斯坦",5374,93
"2020-04-12","Saudi Arabia","沙特阿拉伯",4462,59
"2020-04-12","United Arab Emirates","阿拉伯联合酋长国",4123,22
"2020-04-12","Qatar","卡塔尔",2979,7
"2020-04-12","Egypt","埃及",2065,159
"2020-04-12","Morocco","摩洛哥",1661,118
"2020-04-12","Iraq","伊拉克",1352,76
"2020-04-12","Kuwait","科威特",1234,1
"2020-04-12","Bahrain","巴林",1136,6
"2020-04-12","Oman","阿曼",727,4
"2020-04-12","Tunisia","突尼斯",707,31
"2020-04-12","Lebanon","黎巴嫩",630,20
"2020-04-12","Afghanistan","阿富汗",607,19
"2020-04-12","Jordan","约旦",389,7
"2020-04-12","Djibouti","吉布提",215,2
"2020-04-12","Somalia","索马里",27,2
"2020-04-12","Libya","利比亚",25,1
"2020-04-12","Syrian Arab Republic","阿拉伯叙利亚共和国",25,2
"2020-04-12","Sudan","苏丹",19,2
"2020-04-12","Yemen","也门",1,0
"2020-04-12","occupied Palestinian territory","巴勒斯坦被占领土
",271,2
"2020-04-12","United States of America","美利坚合众国",524514,20444
"2020-04-12","Canada","加拿大",23702,674
"2020-04-12","Brazil","巴西",20727,1124
"2020-04-12","Ecuador","厄瓜多尔",7466,333
"2020-04-12","Chile","智利",7213,80
"2020-04-12","Peru","秘鲁",6848,181
"2020-04-12","Mexico","墨西哥",4219,273
"2020-04-12","Panama","巴拿马",3234,79
"2020-04-12","Dominican Republic","多米尼加 ",2967,173
"2020-04-12","Colombia","哥伦比亚",2709,100
"2020-04-12","Argentina","阿根廷 ",1975,82
"2020-04-12","Cuba","古巴",669,18
"2020-04-12","Costa Rica","哥斯达黎加",577,3
"2020-04-12","Uruguay","乌拉圭",501,7
"2020-04-12","Honduras","洪都拉斯",393,25
