"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-30","Afghanistan","阿富汗",166,4
"2020-03-30","Albania","阿尔巴尼亚",223,10
"2020-03-30","Algeria","阿尔及利亚",511,31
"2020-03-30","Andorra","安道尔",341,6
"2020-03-30","Angola","安哥拉",2,0
"2020-03-30","Anguilla","安圭拉
",2,0
"2020-03-30","Antigua and Barbuda","安提瓜和巴布达",7,0
"2020-03-30","Argentina","阿根廷 ",820,20
"2020-03-30","Armenia","亚美尼亚",482,3
"2020-03-30","Aruba","阿鲁巴
",50,0
"2020-03-30","Australia","澳大利亚",4359,18
"2020-03-30","Austria","奥地利",8813,86
"2020-03-30","Azerbaijan","阿塞拜疆",190,4
"2020-03-30","Bahamas","巴哈马",14,0
"2020-03-30","Bahrain","巴林",515,4
"2020-03-30","Bangladesh","孟加拉国",49,5
"2020-03-30","Barbados","巴巴多斯",33,0
"2020-03-30","Belarus","白俄罗斯",152,0
"2020-03-30","Belgium","比利时",10836,431
"2020-03-30","Belize","伯利兹",3,0
"2020-03-30","Benin","贝宁",6,0
"2020-03-30","Bermuda","百慕大
",22,0
"2020-03-30","Bhutan","不丹",4,0
"2020-03-30","Bolivia (Plurinational State of)","玻利维亚（多民族国）",97,5
"2020-03-30","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",325,6
"2020-03-30","Brazil","巴西",4256,136
"2020-03-30","British Virgin Islands","英属维尔京群岛
",2,0
"2020-03-30","Brunei Darussalam","文莱达鲁萨兰国",127,1
"2020-03-30","Bulgaria","保加利亚",346,8
"2020-03-30","Burkina Faso","布基纳法索",246,12
"2020-03-30","Cabo Verde","佛得角",5,1
"2020-03-30","Cambodia","柬埔寨",107,0
"2020-03-30","Cameroon","喀麦隆",139,6
"2020-03-30","Canada","加拿大",6317,66
"2020-03-30","Cayman Islands","开曼群岛
",12,1
"2020-03-30","Central African Republic","中非共和国",6,0
"2020-03-30","Chad","乍得",5,0
"2020-03-30","Chile","智利",2449,8
"2020-03-30","China","中国",82544,3314
"2020-03-30","Colombia","哥伦比亚",702,10
"2020-03-30","Congo","刚果",19,0
"2020-03-30","Costa Rica","哥斯达黎加",314,2
"2020-03-30","Côte d’Ivoire","科特迪瓦",169,0
"2020-03-30","Croatia","克罗地亚",713,6
"2020-03-30","Cuba","古巴",170,4
"2020-03-30","Curacao","库拉索岛
",11,1
"2020-03-30","Cyprus","塞浦路斯",214,6
"2020-03-30","Czechia","捷克",2829,16
