"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-01","China","中国",82724,3327
"2020-04-01","Republic of Korea","大韩民国",9976,169
"2020-04-01","Australia","澳大利亚",4976,21
"2020-04-01","Malaysia","马来西亚",2908,45
"2020-04-01","Japan","日本",2384,57
"2020-04-01","Philippines","菲律宾",2311,96
"2020-04-01","Singapore","新加坡",1000,3
"2020-04-01","New Zealand","新西兰",723,1
"2020-04-01","Viet Nam","越南",218,0
"2020-04-01","Brunei Darussalam","文莱达鲁萨兰国",131,1
"2020-04-01","Cambodia","柬埔寨",109,0
"2020-04-01","Guam","关岛
",77,3
"2020-04-01","French Polynesia","法属波利尼西亚
",37,0
"2020-04-01","New Caledonia","新喀里多尼亚
",16,0
"2020-04-01","Mongolia","蒙古",14,0
"2020-04-01","Lao People's Democratic Republic","老挝人民民主共和国",10,0
"2020-04-01","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",6,0
"2020-04-01","Fiji","斐济",5,0
"2020-04-01","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-01","Italy","意大利",105792,12430
"2020-04-01","Spain","西班牙",94417,8189
"2020-04-01","Germany","德国",67366,732
"2020-04-01","France","法国",51477,3514
"2020-04-01","The United Kingdom","大不列颠及北爱尔兰联合王国",25154,1789
"2020-04-01","Switzerland","瑞士",16108,373
"2020-04-01","Turkey","土耳其",13531,214
"2020-04-01","Belgium","比利时",12775,705
"2020-04-01","Netherlands","荷兰",12595,1039
"2020-04-01","Austria","奥地利",10182,128
"2020-04-01","Portugal","葡萄牙",7443,160
"2020-04-01","Israel","以色列",5129,21
"2020-04-01","Norway","挪威",4447,28
"2020-04-01","Sweden","瑞典",4435,180
"2020-04-01","Czechia","捷克",3308,31
"2020-04-01","Ireland","爱尔兰",3235,71
"2020-04-01","Denmark","丹麦",2860,90
"2020-04-01","Russian Federation","俄罗斯联邦",2337,17
"2020-04-01","Poland","波兰",2311,33
"2020-04-01","Romania","罗马尼亚",2245,69
"2020-04-01","Luxembourg","卢森堡",2178,23
"2020-04-01","Finland","芬兰",1384,17
"2020-04-01","Greece","希腊",1314,49
"2020-04-01","Iceland","冰岛",1135,2
"2020-04-01","Serbia","塞尔维亚",900,13
"2020-04-01","Croatia","克罗地亚",867,6
"2020-04-01","Slovenia","斯洛文尼亚",814,13
"2020-04-01","Estonia","爱沙尼亚",745,4
"2020-04-01","Ukraine","乌克兰",669,17
"2020-04-01","Lithuania","立陶宛",533,7
"2020-04-01","Armenia","亚美尼亚",532,3
"2020-04-01","Hungary","匈牙利",492,16
"2020-04-01","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",413,12
"2020-04-01","Bulgaria","保加利亚",399,8
"2020-04-01","Latvia","拉脱维亚",398,0
"2020-04-01","Andorra","安道尔",376,12
"2020-04-01","Slovakia","斯洛伐克",363,0
"2020-04-01","Republic of Moldova","摩尔多瓦共和国",353,3
"2020-04-01","Kazakhstan","哈萨克斯坦",348,2
