"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-31","China","中国",82631,3321
"2020-03-31","Republic of Korea","大韩民国",9887,165
"2020-03-31","Australia","澳大利亚",4707,20
"2020-03-31","Malaysia","马来西亚",2766,43
"2020-03-31","Japan","日本",2178,57
"2020-03-31","Philippines","菲律宾",2084,88
"2020-03-31","Singapore","新加坡",926,3
"2020-03-31","New Zealand","新西兰",647,1
"2020-03-31","Viet Nam","越南",207,0
"2020-03-31","Brunei Darussalam","文莱达鲁萨兰国",129,1
"2020-03-31","Cambodia","柬埔寨",109,0
"2020-03-31","Guam","关岛
",69,2
"2020-03-31","French Polynesia","法属波利尼西亚
",37,0
"2020-03-31","New Caledonia","新喀里多尼亚
",16,0
"2020-03-31","Mongolia","蒙古",12,0
"2020-03-31","Lao People's Democratic Republic","老挝人民民主共和国",9,0
"2020-03-31","Fiji","斐济",5,0
"2020-03-31","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",2,0
"2020-03-31","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-31","Italy","意大利",101739,11591
"2020-03-31","Spain","西班牙",85195,7340
"2020-03-31","Germany","德国",61913,583
"2020-03-31","France","法国",43977,3017
"2020-03-31","The United Kingdom","大不列颠及北爱尔兰联合王国",22145,1408
"2020-03-31","Switzerland","瑞士",15412,295
"2020-03-31","Belgium","比利时",11899,513
"2020-03-31","Netherlands","荷兰",11750,864
"2020-03-31","Turkey","土耳其",10827,168
"2020-03-31","Austria","奥地利",9618,108
"2020-03-31","Portugal","葡萄牙",6408,140
"2020-03-31","Israel","以色列",4831,17
"2020-03-31","Norway","挪威",4226,26
"2020-03-31","Sweden","瑞典",4028,146
"2020-03-31","Czechia","捷克",3002,24
"2020-03-31","Ireland","爱尔兰",2910,54
"2020-03-31","Denmark","丹麦",2577,77
"2020-03-31","Poland","波兰",2055,31
"2020-03-31","Luxembourg","卢森堡",1988,22
"2020-03-31","Romania","罗马尼亚",1952,44
"2020-03-31","Russian Federation","俄罗斯联邦",1837,9
"2020-03-31","Finland","芬兰",1313,13
"2020-03-31","Greece","希腊",1212,43
"2020-03-31","Iceland","冰岛",1086,2
"2020-03-31","Croatia","克罗地亚",790,6
"2020-03-31","Serbia","塞尔维亚",785,13
"2020-03-31","Slovenia","斯洛文尼亚",763,11
"2020-03-31","Estonia","爱沙尼亚",715,3
"2020-03-31","Ukraine","乌克兰",549,13
"2020-03-31","Lithuania","立陶宛",484,7
"2020-03-31","Armenia","亚美尼亚",482,3
"2020-03-31","Hungary","匈牙利",447,15
"2020-03-31","Latvia","拉脱维亚",376,0
"2020-03-31","Andorra","安道尔",370,8
"2020-03-31","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",359,9
"2020-03-31","Bulgaria","保加利亚",359,8
"2020-03-31","Slovakia","斯洛伐克",336,0
"2020-03-31","Kazakhstan","哈萨克斯坦",312,1
"2020-03-31","Republic of Moldova","摩尔多瓦共和国",298,2
"2020-03-31","North Macedonia","北马其顿",285,7
"2020-03-31","Azerbaijan","阿塞拜疆",273,4
"2020-03-31","Cyprus","塞浦路斯",230,7
"2020-03-31","San Marino","圣马力诺",230,25
"2020-03-31","Albania","阿尔巴尼亚",223,11
"2020-03-31","Faroe Islands","法罗群岛
",168,0
"2020-03-31","Malta","马耳他",156,0
"2020-03-31","Belarus","白俄罗斯",152,0
"2020-03-31","Uzbekistan","乌兹别克斯坦",149,2
"2020-03-31","Kyrgyzstan","吉尔吉斯斯坦",107,0
"2020-03-31","Kosovo[1]","科索沃[1]",106,1
"2020-03-31","Georgia","格鲁吉亚",103,0
"2020-03-31","Montenegro","黑山",91,1
"2020-03-31","Gibraltar","直布罗陀
",69,0
"2020-03-31","Liechtenstein","列支敦士登
",64,0
"2020-03-31","Jersey","泽西岛
",63,2
"2020-03-31","Monaco","摩纳哥",49,0
