"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-21","China","中国",81498,3267
"2020-03-21","Republic of Korea","大韩民国",8897,104
"2020-03-21","Malaysia","马来西亚",1183,3
"2020-03-21","Australia","澳大利亚",1081,7
"2020-03-21","Japan","日本",1046,36
"2020-03-21","Singapore","新加坡",432,2
"2020-03-21","Philippines","菲律宾",307,19
"2020-03-21","Viet Nam","越南",94,0
"2020-03-21","Brunei Darussalam","文莱达鲁萨兰国",83,0
"2020-03-21","New Zealand","新西兰",66,0
"2020-03-21","Cambodia","柬埔寨",53,0
"2020-03-21","French Polynesia","法属波利尼西亚
",15,0
"2020-03-21","Guam","关岛
",15,0
"2020-03-21","Mongolia","蒙古",10,0
"2020-03-21","New Caledonia","新喀里多尼亚
",4,0
"2020-03-21","Fiji","斐济",2,0
"2020-03-21","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-21","Italy","意大利",53578,4827
"2020-03-21","Spain","西班牙",24926,1326
"2020-03-21","Germany","德国",21463,67
"2020-03-21","France","法国",14296,562
"2020-03-21","Switzerland","瑞士",6077,56
"2020-03-21","The United Kingdom","大不列颠及北爱尔兰联合王国",5018,233
"2020-03-21","Netherlands","荷兰",3631,136
"2020-03-21","Austria","奥地利",3024,8
"2020-03-21","Belgium","比利时",2815,67
"2020-03-21","Norway","挪威",1926,7
"2020-03-21","Sweden","瑞典",1746,20
"2020-03-21","Denmark","丹麦",1326,13
"2020-03-21","Portugal","葡萄牙",1280,12
"2020-03-21","Czechia","捷克",995,0
"2020-03-21","Turkey","土耳其",947,21
"2020-03-21","Israel","以色列",883,1
"2020-03-21","Ireland","爱尔兰",785,3
"2020-03-21","Luxembourg","卢森堡",670,8
"2020-03-21","Poland","波兰",536,5
"2020-03-21","Greece","希腊",530,13
"2020-03-21","Finland","芬兰",521,1
"2020-03-21","Iceland","冰岛",473,1
"2020-03-21","Slovenia","斯洛文尼亚",383,1
"2020-03-21","Romania","罗马尼亚",367,0
"2020-03-21","Estonia","爱沙尼亚",306,0
"2020-03-21","Russian Federation","俄罗斯联邦",306,0
"2020-03-21","Croatia","克罗地亚",206,1
"2020-03-21","Slovakia","斯洛伐克",178,0
"2020-03-21","Serbia","塞尔维亚",173,1
"2020-03-21","Bulgaria","保加利亚",163,3
"2020-03-21","Armenia","亚美尼亚",160,0
"2020-03-21","San Marino","圣马力诺",151,20
"2020-03-21","Hungary","匈牙利",131,4
"2020-03-21","Latvia","拉脱维亚",124,0
"2020-03-21","Lithuania","立陶宛",105,1
"2020-03-21","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",92,1
"2020-03-21","Faroe Islands","法罗群岛
",92,0
"2020-03-21","Andorra","安道尔",88,0
"2020-03-21","North Macedonia","北马其顿",85,0
"2020-03-21","Cyprus","塞浦路斯",84,0
"2020-03-21","Republic of Moldova","摩尔多瓦共和国",80,1
"2020-03-21","Albania","阿尔巴尼亚",76,2
"2020-03-21","Belarus","白俄罗斯",76,0
"2020-03-21","Malta","马耳他",73,0
"2020-03-21","Kazakhstan","哈萨克斯坦",56,0
"2020-03-21","Azerbaijan","阿塞拜疆",53,1
"2020-03-21","Georgia","格鲁吉亚",49,0
"2020-03-21","Ukraine","乌克兰",47,3
"2020-03-21","Liechtenstein","列支敦士登
",36,0
"2020-03-21","Uzbekistan","乌兹别克斯坦",33,0
"2020-03-21","Monaco","摩纳哥",18,0
"2020-03-21","Kyrgyzstan","吉尔吉斯斯坦",14,0
"2020-03-21","Montenegro","黑山",14,0
"2020-03-21","Jersey","泽西岛
",12,0
"2020-03-21","Gibraltar","直布罗陀
",10,0
"2020-03-21","Greenland","格陵兰岛
",2,0
"2020-03-21","Isle of Man","马恩岛
",2,0
"2020-03-21","Guernsey","根西岛
",1,0
"2020-03-21","Holy See","梵蒂冈
",1,0
"2020-03-21","Indonesia","印度尼西亚",450,38
"2020-03-21","Thailand","泰国",411,1
"2020-03-21","India","印度",283,4
"2020-03-21","Sri Lanka","斯里兰卡",72,0
"2020-03-21","Bangladesh","孟加拉国",24,2
"2020-03-21","Maldives","马尔代夫",13,0
"2020-03-21","Bhutan","不丹",2,0
"2020-03-21","Nepal","尼泊尔",1,0
"2020-03-21","Timor-Leste","东帝汶",1,0
"2020-03-21","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",20610,1556
"2020-03-21","Pakistan","巴基斯坦",495,3
"2020-03-21","Qatar","卡塔尔",470,0
"2020-03-21","Saudi Arabia","沙特阿拉伯",392,0
"2020-03-21","Bahrain","巴林",306,1
"2020-03-21","Egypt","埃及",285,8
"2020-03-21","Iraq","伊拉克",214,17
"2020-03-21","Lebanon","黎巴嫩",206,4
"2020-03-21","Kuwait","科威特",176,0
"2020-03-21","United Arab Emirates","阿拉伯联合酋长国",153,2
"2020-03-21","Morocco","摩洛哥",86,3
"2020-03-21","Jordan","约旦",84,0
"2020-03-21","Tunisia","突尼斯",60,1
"2020-03-21","occupied Palestinian territory","巴勒斯坦被占领土
",52,0
"2020-03-21","Oman","阿曼",52,0
"2020-03-21","Afghanistan","阿富汗",24,0
"2020-03-21","Sudan","苏丹",2,1
"2020-03-21","Djibouti","吉布提",1,0
"2020-03-21","Somalia","索马里",1,0
"2020-03-21","United States of America","美利坚合众国",15219,201
"2020-03-21","Canada","加拿大",1048,13
"2020-03-21","Brazil","巴西",904,11
"2020-03-21","Ecuador","厄瓜多尔",506,7
"2020-03-21","Chile","智利",434,1
"2020-03-21","Peru","秘鲁",318,2
"2020-03-21","Colombia","哥伦比亚",196,0
"2020-03-21","Mexico","墨西哥",164,1
"2020-03-21","Argentina","阿根廷 ",158,3
"2020-03-21","Panama","巴拿马",137,1
"2020-03-21","Costa Rica","哥斯达黎加",113,2
"2020-03-21","Uruguay","乌拉圭",94,0
"2020-03-21","Dominican Republic","多米尼加 ",72,2
"2020-03-21","Guadeloupe","瓜德罗普岛
",51,0
"2020-03-21","Venezuela (Bolivarian Republic of)","委内瑞拉(玻利瓦尔共和国)",36,0
"2020-03-21","Martinique","马提尼克岛
",32,0
"2020-03-21","Honduras","洪都拉斯",24,0
"2020-03-21","Puerto Rico","波多黎各
",21,1
"2020-03-21","Bolivia (Plurinational State of)","玻利维亚（多民族国）",19,0
"2020-03-21","Paraguay","巴拉圭",18,1
"2020-03-21","Cuba","古巴",16,1
"2020-03-21","Jamaica","牙买加",16,1
"2020-03-21","French Guiana","法属圭亚那
",15,0
"2020-03-21","Guatemala","危地马拉",12,1
"2020-03-21","Trinidad and Tobago","特立尼达和多巴哥",9,0
"2020-03-21","United States Virgin Islands","美属维尔京群岛
",6,0
"2020-03-21","Aruba","阿鲁巴
",5,0
"2020-03-21","Barbados","巴巴多斯",5,0
"2020-03-21","Guyana","圭亚那",5,1
"2020-03-21","Bahamas","巴哈马",4,0
"2020-03-21","Saint Martin","圣马丁岛
",4,0
"2020-03-21","Cayman Islands","开曼群岛
",3,1
"2020-03-21","Curacao","库拉索岛
",3,1
"2020-03-21","Saint Barthelemy","圣巴泰勒米
",3,0
"2020-03-21","Bermuda","百慕大
",2,0
"2020-03-21","Haiti","海地",2,0
"2020-03-21","Nicaragua","尼加拉瓜",2,0
"2020-03-21","Saint Lucia","圣卢西亚",2,0
"2020-03-21","Suriname","苏里南",2,0
"2020-03-21","Antigua and Barbuda","安提瓜和巴布达",1,0
"2020-03-21","El Salvador","萨尔瓦多",1,0
"2020-03-21","Montserrat","蒙特塞拉特岛
",1,0
"2020-03-21","Saint Vincent and the Grenadines","圣文森特和格林纳丁斯",1,0
"2020-03-21","Sint Maarten","圣马丁
",1,0
"2020-03-21","South Africa","南非",240,0
"2020-03-21","Algeria","阿尔及利亚",94,15
"2020-03-21","Burkina Faso","布基纳法索",72,3
"2020-03-21","Senegal","塞内加尔",56,0
"2020-03-21","Réunion","留尼汪岛
",47,0
"2020-03-21","Cameroon","喀麦隆",27,0
"2020-03-21","Democratic Republic of the Congo","刚果民主共和国",23,1
"2020-03-21","Nigeria","尼日利亚",22,0
"2020-03-21","Ghana","加纳",19,0
"2020-03-21","Rwanda","卢旺达",17,0
"2020-03-21","Togo","多哥",15,0
"2020-03-21","Mauritius","毛里求斯",12,0
"2020-03-21","Mayotte","马约特岛
",11,0
"2020-03-21","Côte d’Ivoire","科特迪瓦",9,0
"2020-03-21","Ethiopia","埃塞俄比亚",9,0
"2020-03-21","Kenya","肯尼亚",7,0
"2020-03-21","Seychelles","塞舌尔",7,0
"2020-03-21","Equatorial Guinea","赤道几内亚",6,0
"2020-03-21","United Republic of Tanzania","坦桑尼亚联合共和国",6,0
"2020-03-21","Congo","刚果",4,0
"2020-03-21","Cabo Verde","佛得角",3,0
"2020-03-21","Central African Republic","中非共和国",3,0
"2020-03-21","Gabon","加蓬",3,1
"2020-03-21","Liberia","利比里亚",3,0
"2020-03-21","Madagascar","马达加斯加",3,0
"2020-03-21","Namibia","纳米比亚",3,0
"2020-03-21","Angola","安哥拉",2,0
"2020-03-21","Benin","贝宁",2,0
"2020-03-21","Guinea","几内亚",2,0
"2020-03-21","Mauritania","毛里塔尼亚",2,0
"2020-03-21","Zambia","赞比亚",2,0
"2020-03-21","Zimbabwe","津巴布韦",2,0
"2020-03-21","Chad","乍得",1,0
"2020-03-21","Eritrea","厄立特里亚",1,0
"2020-03-21","Eswatini","斯威士兰",1,0
"2020-03-21","Gambia","冈比亚",1,0
"2020-03-21","Niger","尼日尔",1,0
"2020-03-21","Uganda","乌干达",1,0
"2020-03-21","International conveyance (Diamond Princess)","国际交通工具（“钻石公主号”邮轮）)",712,7
