"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-04","Republic of Korea","大韩民国",10237,183
"2020-04-04","Australia","澳大利亚",5635,34
"2020-04-04","Malaysia","马来西亚",3483,57
"2020-04-04","Japan","日本",3271,70
"2020-04-04","Philippines","菲律宾",3094,144
"2020-04-04","Singapore","新加坡",1189,5
"2020-04-04","New Zealand","新西兰",872,1
"2020-04-04","Viet Nam","越南",240,0
"2020-04-04","Brunei Darussalam","文莱达鲁萨兰国",135,1
"2020-04-04","Cambodia","柬埔寨",114,0
"2020-04-04","Guam","关岛
",93,4
"2020-04-04","French Polynesia","法属波利尼西亚
",40,0
"2020-04-04","New Caledonia","新喀里多尼亚
",18,0
"2020-04-04","Mongolia","蒙古",14,0
"2020-04-04","Fiji","斐济",12,0
"2020-04-04","Lao People's Democratic Republic","老挝人民民主共和国",10,0
"2020-04-04","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",8,1
"2020-04-04","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-04","Spain","西班牙",124736,11744
"2020-04-04","Italy","意大利",124632,15362
"2020-04-04","Germany","德国",91714,1342
"2020-04-04","France","法国",67757,7546
"2020-04-04","The United Kingdom","大不列颠及北爱尔兰联合王国",41907,4313
"2020-04-04","Turkey","土耳其",23934,501
"2020-04-04","Switzerland","瑞士",20489,666
"2020-04-04","Belgium","比利时",18431,1283
"2020-04-04","Netherlands","荷兰",16627,1651
"2020-04-04","Austria","奥地利",11766,186
"2020-04-04","Portugal","葡萄牙",10524,266
"2020-04-04","Israel","以色列",7589,42
"2020-04-04","Sweden","瑞典",6443,373
"2020-04-04","Norway","挪威",5510,50
"2020-04-04","Russian Federation","俄罗斯联邦",4731,43
"2020-04-04","Ireland","爱尔兰",4604,137
"2020-04-04","Czechia","捷克",4472,59
"2020-04-04","Denmark","丹麦",4077,161
"2020-04-04","Poland","波兰",3627,79
"2020-04-04","Romania","罗马尼亚",3613,141
"2020-04-04","Luxembourg","卢森堡",2729,31
"2020-04-04","Finland","芬兰",1882,25
"2020-04-04","Greece","希腊",1673,68
"2020-04-04","Serbia","塞尔维亚",1624,39
"2020-04-04","Iceland","冰岛",1417,4
"2020-04-04","Ukraine","乌克兰",1251,32
"2020-04-04","Croatia","克罗地亚",1126,12
"2020-04-04","Estonia","爱沙尼亚",1018,13
"2020-04-04","Slovenia","斯洛文尼亚",977,22
"2020-04-04","Lithuania","立陶宛",771,9
"2020-04-04","Republic of Moldova","摩尔多瓦共和国",752,12
"2020-04-04","Armenia","亚美尼亚",746,7
"2020-04-04","Hungary","匈牙利",733,34
"2020-04-04","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",632,21
"2020-04-04","Kazakhstan","哈萨克斯坦",531,5
"2020-04-04","Azerbaijan","阿塞拜疆",512,5
"2020-04-04","Latvia","拉脱维亚",509,1
"2020-04-04","Bulgaria","保加利亚",503,17
