"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-03","China","中国",82875,3335
"2020-04-03","Republic of Korea","大韩民国",10156,177
"2020-04-03","Australia","澳大利亚",5454,28
"2020-04-03","Malaysia","马来西亚",3333,53
"2020-04-03","Philippines","菲律宾",3018,136
"2020-04-03","Japan","日本",2935,69
"2020-04-03","Singapore","新加坡",1114,5
"2020-04-03","New Zealand","新西兰",824,1
"2020-04-03","Viet Nam","越南",239,0
"2020-04-03","Brunei Darussalam","文莱达鲁萨兰国",134,1
"2020-04-03","Cambodia","柬埔寨",114,0
"2020-04-03","Guam","关岛
",84,3
"2020-04-03","French Polynesia","法属波利尼西亚
",39,0
"2020-04-03","New Caledonia","新喀里多尼亚
",18,0
"2020-04-03","Mongolia","蒙古",14,0
"2020-04-03","Lao People's Democratic Republic","老挝人民民主共和国",10,0
"2020-04-03","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",8,1
"2020-04-03","Fiji","斐济",7,0
"2020-04-03","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-03","Italy","意大利",119827,14681
"2020-04-03","Spain","西班牙",117710,10935
"2020-04-03","Germany","德国",85778,1158
"2020-04-03","France","法国",63536,6493
"2020-04-03","The United Kingdom","大不列颠及北爱尔兰联合王国",38172,3605
"2020-04-03","Turkey","土耳其",20921,425
"2020-04-03","Switzerland","瑞士",19706,607
"2020-04-03","Belgium","比利时",16770,1143
"2020-04-03","Netherlands","荷兰",15723,1487
"2020-04-03","Austria","奥地利",11525,168
"2020-04-03","Portugal","葡萄牙",9886,246
"2020-04-03","Israel","以色列",7030,36
"2020-04-03","Sweden","瑞典",6078,333
"2020-04-03","Norway","挪威",5208,44
"2020-04-03","Ireland","爱尔兰",4273,120
"2020-04-03","Czechia","捷克",4190,53
"2020-04-03","Russian Federation","俄罗斯联邦",4149,34
"2020-04-03","Denmark","丹麦",3757,139
"2020-04-03","Poland","波兰",3383,71
"2020-04-03","Romania","罗马尼亚",3183,133
"2020-04-03","Luxembourg","卢森堡",2612,31
"2020-04-03","Finland","芬兰",1615,20
"2020-04-03","Greece","希腊",1613,59
"2020-04-03","Serbia","塞尔维亚",1476,39
"2020-04-03","Iceland","冰岛",1364,4
"2020-04-03","Ukraine","乌克兰",1096,28
"2020-04-03","Croatia","克罗地亚",1079,8
"2020-04-03","Estonia","爱沙尼亚",961,12
"2020-04-03","Slovenia","斯洛文尼亚",934,20
"2020-04-03","Lithuania","立陶宛",771,9
"2020-04-03","Armenia","亚美尼亚",736,7
"2020-04-03","Hungary","匈牙利",678,32
"2020-04-03","Republic of Moldova","摩尔多瓦共和国",591,9
"2020-04-03","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",586,18
"2020-04-03","Latvia","拉脱维亚",493,1
"2020-04-03","Bulgaria","保加利亚",485,14
"2020-04-03","Kazakhstan","哈萨克斯坦",460,3
"2020-04-03","Slovakia","斯洛伐克",450,0
"2020-04-03","Azerbaijan","阿塞拜疆",443,5
"2020-04-03","Andorra","安道尔",442,16
"2020-04-03","North Macedonia","北马其顿",430,12
"2020-04-03","Cyprus","塞浦路斯",396,11
"2020-04-03","Albania","阿尔巴尼亚",333,17
"2020-04-03","Belarus","白俄罗斯",254,4
"2020-04-03","San Marino","圣马力诺",252,32
"2020-04-03","Uzbekistan","乌兹别克斯坦",241,2
"2020-04-03","Malta","马耳他",202,0
"2020-04-03","Faroe Islands","法罗群岛
",179,0
"2020-04-03","Montenegro","黑山",160,2
"2020-04-03","Georgia","格鲁吉亚",157,0
"2020-04-03","Kyrgyzstan","吉尔吉斯斯坦",144,1
"2020-04-03","Kosovo[1]","科索沃[1]",132,1
"2020-04-03","Jersey","泽西岛
",118,2
"2020-04-03","Guernsey","根西岛
",114,2
"2020-04-03","Isle of Man","马恩岛
",114,1
"2020-04-03","Gibraltar","直布罗陀
",95,1
"2020-04-03","Liechtenstein","列支敦士登
",76,0
"2020-04-03","Monaco","摩纳哥",37,0
"2020-04-03","Greenland","格陵兰岛
",10,0
"2020-04-03","Holy See","梵蒂冈
",7,0
"2020-04-03","India","印度",2902,68
"2020-04-03","Indonesia","印度尼西亚",2092,191
"2020-04-03","Thailand","泰国",2067,20
"2020-04-03","Sri Lanka","斯里兰卡",159,5
"2020-04-03","Bangladesh","孟加拉国",70,8
"2020-04-03","Myanmar","缅甸",20,1
"2020-04-03","Maldives","马尔代夫",19,0
"2020-04-03","Nepal","尼泊尔",6,0
"2020-04-03","Bhutan","不丹",5,0
"2020-04-03","Timor-Leste","东帝汶",1,0
"2020-04-03","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",55743,3452
"2020-04-03","Pakistan","巴基斯坦",2450,35
"2020-04-03","Saudi Arabia","沙特阿拉伯",2179,29
"2020-04-03","United Arab Emirates","阿拉伯联合酋长国",1505,10
"2020-04-03","Qatar","卡塔尔",1075,3
"2020-04-03","Egypt","埃及",985,66
"2020-04-03","Iraq","伊拉克",878,56
"2020-04-03","Morocco","摩洛哥",858,50
"2020-04-03","Bahrain","巴林",688,4
"2020-04-03","Lebanon","黎巴嫩",520,17
"2020-04-03","Tunisia","突尼斯",495,18
"2020-04-03","Kuwait","科威特",479,1
"2020-04-03","Jordan","约旦",310,5
"2020-04-03","Oman","阿曼",277,1
"2020-04-03","Afghanistan","阿富汗",270,5
"2020-04-03","occupied Palestinian territory","巴勒斯坦被占领土
",205,1
"2020-04-03","Djibouti","吉布提",51,0
"2020-04-03","Libya","利比亚",17,1
"2020-04-03","Syrian Arab Republic","阿拉伯叙利亚共和国",16,2
"2020-04-03","Sudan","苏丹",10,2
"2020-04-03","Somalia","索马里",7,0
"2020-04-03","United States of America","美利坚合众国",241703,5854
"2020-04-03","Canada","加拿大",11732,152
"2020-04-03","Brazil","巴西",7910,299
"2020-04-03","Chile","智利",3737,22
"2020-04-03","Ecuador","厄瓜多尔",3163,120
"2020-04-03","Mexico","墨西哥",1510,50
"2020-04-03","Dominican Republic","多米尼加 ",1488,68
"2020-04-03","Panama","巴拿马",1475,37
"2020-04-03","Peru","秘鲁",1414,51
"2020-04-03","Argentina","阿根廷 ",1265,37
"2020-04-03","Colombia","哥伦比亚",1161,19
"2020-04-03","Costa Rica","哥斯达黎加",396,2
"2020-04-03","Puerto Rico","波多黎各
",378,15
"2020-04-03","Uruguay","乌拉圭",369,4
"2020-04-03","Cuba","古巴",269,6
"2020-04-03","Honduras","洪都拉斯",222,15
"2020-04-03","Venezuela (Bolivarian Republic of)","委内瑞拉(玻利瓦尔共和国)",144,3
"2020-04-03","Martinique","马提尼克岛
",138,3
"2020-04-03","Bolivia (Plurinational State of)","玻利维亚（多民族国）",132,9
"2020-04-03","Guadeloupe","瓜德罗普岛
",130,7
"2020-04-03","Trinidad and Tobago","特立尼达和多巴哥",97,6
"2020-04-03","Paraguay","巴拉圭",92,3
"2020-04-03","Aruba","阿鲁巴
",62,0
"2020-04-03","French Guiana","法属圭亚那
",57,0
"2020-04-03","Guatemala","危地马拉",50,1
"2020-04-03","Jamaica","牙买加",47,3
"2020-04-03","El Salvador","萨尔瓦多",46,2
"2020-04-03","Barbados","巴巴多斯",45,0
"2020-04-03","United States Virgin Islands","美属维尔京群岛
",37,0
"2020-04-03","Bermuda","百慕大
",35,0
"2020-04-03","Cayman Islands","开曼群岛
",28,1
"2020-04-03","Bahamas","巴哈马",24,3
"2020-04-03","Sint Maarten","圣马丁
",23,2
"2020-04-03","Saint Martin","圣马丁岛
",22,2
"2020-04-03","Guyana","圭亚那",19,4
"2020-04-03","Haiti","海地",18,0
