"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-11","China","中国",83482,3349
"2020-04-11","Republic of Korea","大韩民国",10512,214
"2020-04-11","Japan","日本",6748,98
"2020-04-11","Australia","澳大利亚",6289,57
"2020-04-11","Malaysia","马来西亚",4530,73
"2020-04-11","Philippines","菲律宾",4428,247
"2020-04-11","Singapore","新加坡",2299,8
"2020-04-11","New Zealand","新西兰",1049,4
"2020-04-11","Viet Nam","越南",258,0
"2020-04-11","Brunei Darussalam","文莱达鲁萨兰国",136,1
"2020-04-11","Cambodia","柬埔寨",122,0
"2020-04-11","Fiji","斐济",16,0
"2020-04-11","Lao People's Democratic Republic","老挝人民民主共和国",16,0
"2020-04-11","Mongolia","蒙古",16,0
"2020-04-11","Papua New Guinea","巴布亚新几内亚",2,0
"2020-04-11","Guam","关岛
",133,5
"2020-04-11","French Polynesia","法属波利尼西亚
",51,0
"2020-04-11","New Caledonia","新喀里多尼亚
",18,0
"2020-04-11","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",11,2
"2020-04-11","Spain","西班牙",161852,16353
"2020-04-11","Italy","意大利",152271,19470
"2020-04-11","Germany","德国",120479,2673
"2020-04-11","France","法国",92787,13814
"2020-04-11","The United Kingdom","大不列颠及北爱尔兰联合王国",78995,9875
"2020-04-11","Turkey","土耳其",52167,1101
"2020-04-11","Belgium","比利时",28018,3346
"2020-04-11","Switzerland","瑞士",24820,831
"2020-04-11","Netherlands","荷兰",24413,2643
"2020-04-11","Portugal","葡萄牙",15987,470
"2020-04-11","Russian Federation","俄罗斯联邦",15770,130
"2020-04-11","Austria","奥地利",13807,337
"2020-04-11","Israel","以色列",10525,96
"2020-04-11","Sweden","瑞典",10151,887
"2020-04-11","Ireland","爱尔兰",8928,320
"2020-04-11","Poland","波兰",6356,208
"2020-04-11","Norway","挪威",6320,98
"2020-04-11","Denmark","丹麦",5996,260
"2020-04-11","Romania","罗马尼亚",5990,282
"2020-04-11","Czechia","捷克",5902,129
"2020-04-11","Serbia","塞尔维亚",3380,74
"2020-04-11","Luxembourg","卢森堡",3270,62
"2020-04-11","Finland","芬兰",2905,49
"2020-04-11","Ukraine","乌克兰",2777,83
"2020-04-11","Belarus","白俄罗斯",2226,23
"2020-04-11","Greece","希腊",2081,93
"2020-04-11","Iceland","冰岛",1689,8
"2020-04-11","Republic of Moldova","摩尔多瓦共和国",1560,30
"2020-04-11","Croatia","克罗地亚",1534,21
