"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-20","China","中国",81416,3261
"2020-03-20","Republic of Korea","大韩民国",8799,102
"2020-03-20","Malaysia","马来西亚",1030,3
"2020-03-20","Japan","日本",996,35
"2020-03-20","Australia","澳大利亚",873,7
"2020-03-20","Singapore","新加坡",385,0
"2020-03-20","Philippines","菲律宾",230,18
"2020-03-20","Viet Nam","越南",91,0
"2020-03-20","Brunei Darussalam","文莱达鲁萨兰国",78,0
"2020-03-20","New Zealand","新西兰",53,0
"2020-03-20","Cambodia","柬埔寨",51,0
"2020-03-20","Guam","关岛
",14,0
"2020-03-20","French Polynesia","法属波利尼西亚
",11,0
"2020-03-20","Mongolia","蒙古",6,0
"2020-03-20","New Caledonia","新喀里多尼亚
",2,0
"2020-03-20","Fiji","斐济",1,0
"2020-03-20","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-20","Italy","意大利",47021,4032
"2020-03-20","Spain","西班牙",19980,1002
"2020-03-20","Germany","德国",18323,45
"2020-03-20","France","法国",12475,450
"2020-03-20","Switzerland","瑞士",4840,43
"2020-03-20","The United Kingdom","大不列颠及北爱尔兰联合王国",3983,177
"2020-03-20","Netherlands","荷兰",2994,106
"2020-03-20","Austria","奥地利",2649,6
"2020-03-20","Belgium","比利时",2257,37
"2020-03-20","Norway","挪威",1742,7
"2020-03-20","Sweden","瑞典",1623,16
"2020-03-20","Denmark","丹麦",1255,9
"2020-03-20","Portugal","葡萄牙",1020,6
"2020-03-20","Czechia","捷克",904,0
"2020-03-20","Israel","以色列",712,1
"2020-03-20","Ireland","爱尔兰",683,3
"2020-03-20","Turkey","土耳其",670,9
"2020-03-20","Greece","希腊",495,8
"2020-03-20","Luxembourg","卢森堡",484,5
"2020-03-20","Finland","芬兰",450,0
"2020-03-20","Poland","波兰",425,5
"2020-03-20","Iceland","冰岛",409,1
"2020-03-20","Slovenia","斯洛文尼亚",341,1
"2020-03-20","Romania","罗马尼亚",308,0
"2020-03-20","Estonia","爱沙尼亚",283,0
"2020-03-20","Russian Federation","俄罗斯联邦",253,0
"2020-03-20","San Marino","圣马力诺",151,14
"2020-03-20","Slovakia","斯洛伐克",137,0
"2020-03-20","Armenia","亚美尼亚",136,0
