"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-05","China","中国",83005,3340
"2020-04-05","Republic of Korea","大韩民国",10284,186
"2020-04-05","Australia","澳大利亚",5795,39
"2020-04-05","Malaysia","马来西亚",3662,61
"2020-04-05","Japan","日本",3654,73
"2020-04-05","Philippines","菲律宾",3246,152
"2020-04-05","Singapore","新加坡",1309,6
"2020-04-05","New Zealand","新西兰",911,1
"2020-04-05","Viet Nam","越南",241,0
"2020-04-05","Brunei Darussalam","文莱达鲁萨兰国",135,1
"2020-04-05","Cambodia","柬埔寨",114,0
"2020-04-05","Guam","关岛
",112,4
"2020-04-05","French Polynesia","法属波利尼西亚
",41,0
"2020-04-05","New Caledonia","新喀里多尼亚
",18,0
"2020-04-05","Mongolia","蒙古",15,0
"2020-04-05","Fiji","斐济",14,0
"2020-04-05","Lao People's Democratic Republic","老挝人民民主共和国",11,0
"2020-04-05","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",8,1
"2020-04-05","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-05","Spain","西班牙",130759,12418
"2020-04-05","Italy","意大利",128948,15889
"2020-04-05","Germany","德国",95391,1434
"2020-04-05","France","法国",69607,8064
"2020-04-05","The United Kingdom","大不列颠及北爱尔兰联合王国",47810,4934
"2020-04-05","Turkey","土耳其",27069,574
"2020-04-05","Switzerland","瑞士",21065,715
"2020-04-05","Belgium","比利时",19691,1447
"2020-04-05","Netherlands","荷兰",17851,1766
"2020-04-05","Austria","奥地利",11983,204
"2020-04-05","Portugal","葡萄牙",11278,295
"2020-04-05","Israel","以色列",8018,46
"2020-04-05","Sweden","瑞典",6830,401
"2020-04-05","Norway","挪威",5640,58
"2020-04-05","Russian Federation","俄罗斯联邦",5389,45
"2020-04-05","Ireland","爱尔兰",5111,158
"2020-04-05","Czechia","捷克",4587,67
"2020-04-05","Denmark","丹麦",4369,179
"2020-04-05","Poland","波兰",4102,94
"2020-04-05","Romania","罗马尼亚",3864,148
"2020-04-05","Luxembourg","卢森堡",2804,36
"2020-04-05","Finland","芬兰",1927,28
"2020-04-05","Serbia","塞尔维亚",1908,51
"2020-04-05","Greece","希腊",1735,73
"2020-04-05","Iceland","冰岛",1486,4
"2020-04-05","Ukraine","乌克兰",1319,38
"2020-04-05","Croatia","克罗地亚",1182,15
"2020-04-05","Estonia","爱沙尼亚",1097,15
"2020-04-05","Slovenia","斯洛文尼亚",997,28
"2020-04-05","Republic of Moldova","摩尔多瓦共和国",864,15
"2020-04-05","Lithuania","立陶宛",811,13
"2020-04-05","Armenia","亚美尼亚",746,7
"2020-04-05","Hungary","匈牙利",744,38
"2020-04-05","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",662,21
"2020-04-05","Kazakhstan","哈萨克斯坦",604,5
"2020-04-05","Azerbaijan","阿塞拜疆",584,5
"2020-04-05","Belarus","白俄罗斯",562,8
"2020-04-05","North Macedonia","北马其顿",555,18
"2020-04-05","Latvia","拉脱维亚",533,1
"2020-04-05","Bulgaria","保加利亚",531,20
"2020-04-05","Andorra","安道尔",523,17
"2020-04-05","Slovakia","斯洛伐克",485,0
