"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-28","China","中国",82356,3306
"2020-03-28","Republic of Korea","大韩民国",9583,152
"2020-03-28","Australia","澳大利亚",3966,16
"2020-03-28","Malaysia","马来西亚",2320,27
"2020-03-28","Japan","日本",1693,52
"2020-03-28","Philippines","菲律宾",1075,68
"2020-03-28","Singapore","新加坡",802,2
"2020-03-28","New Zealand","新西兰",476,1
"2020-03-28","Viet Nam","越南",179,0
"2020-03-28","Brunei Darussalam","文莱达鲁萨兰国",120,1
"2020-03-28","Cambodia","柬埔寨",102,0
"2020-03-28","Guam","关岛
",56,1
"2020-03-28","French Polynesia","法属波利尼西亚
",34,0
"2020-03-28","New Caledonia","新喀里多尼亚
",15,0
"2020-03-28","Mongolia","蒙古",12,0
"2020-03-28","Lao People's Democratic Republic","老挝人民民主共和国",6,0
"2020-03-28","Fiji","斐济",5,0
"2020-03-28","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",2,0
"2020-03-28","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-28","Italy","意大利",92472,10023
"2020-03-28","Spain","西班牙",72248,5690
"2020-03-28","Germany","德国",52547,389
"2020-03-28","France","法国",37145,2311
"2020-03-28","The United Kingdom","大不列颠及北爱尔兰联合王国",17093,1019
"2020-03-28","Switzerland","瑞士",13152,235
"2020-03-28","Netherlands","荷兰",9762,639
"2020-03-28","Belgium","比利时",9134,353
"2020-03-28","Austria","奥地利",8291,68
"2020-03-28","Turkey","土耳其",7402,108
"2020-03-28","Portugal","葡萄牙",5170,100
"2020-03-28","Israel","以色列",3865,81
"2020-03-28","Norway","挪威",3845,20
"2020-03-28","Sweden","瑞典",3447,102
"2020-03-28","Czechia","捷克",2663,11
"2020-03-28","Ireland","爱尔兰",2415,36
"2020-03-28","Denmark","丹麦",2201,65
"2020-03-28","Luxembourg","卢森堡",1831,18
"2020-03-28","Poland","波兰",1638,18
"2020-03-28","Russian Federation","俄罗斯联邦",1534,8
"2020-03-28","Romania","罗马尼亚",1452,29
"2020-03-28","Finland","芬兰",1218,9
"2020-03-28","Greece","希腊",1061,32
"2020-03-28","Iceland","冰岛",963,2
"2020-03-28","Slovenia","斯洛文尼亚",691,9
"2020-03-28","Serbia","塞尔维亚",659,10
"2020-03-28","Croatia","克罗地亚",657,5
"2020-03-28","Estonia","爱沙尼亚",640,1
"2020-03-28","Armenia","亚美尼亚",424,3
"2020-03-28","Ukraine","乌克兰",418,9
"2020-03-28","Hungary","匈牙利",408,13
"2020-03-28","Lithuania","立陶宛",394,7
"2020-03-28","Bulgaria","保加利亚",331,7
"2020-03-28","Andorra","安道尔",321,4
"2020-03-28","Latvia","拉脱维亚",305,0
"2020-03-28","Slovakia","斯洛伐克",295,0
"2020-03-28","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",269,6
"2020-03-28","Kazakhstan","哈萨克斯坦",265,1
"2020-03-28","North Macedonia","北马其顿",241,4
"2020-03-28","Republic of Moldova","摩尔多瓦共和国",231,2
"2020-03-28","San Marino","圣马力诺",228,22
"2020-03-28","Albania","阿尔巴尼亚",212,10
