"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-08","Algeria","阿尔及利亚",1572,205
"2020-04-08","Angola","安哥拉",19,2
"2020-04-08","Benin","贝宁",26,1
"2020-04-08","Botswana","博茨瓦纳",6,1
"2020-04-08","Burkina Faso","布基纳法索",384,19
"2020-04-08","Burundi","布隆迪",3,0
"2020-04-08","Cabo Verde","佛得角",7,1
"2020-04-08","Cameroon","喀麦隆",730,10
"2020-04-08","Central African Republic","中非共和国",10,0
"2020-04-08","Chad","乍得",10,0
"2020-04-08","Congo","刚果",60,5
"2020-04-08","Côte d’Ivoire","科特迪瓦",384,3
"2020-04-08","Democratic Republic of the Congo","刚果民主共和国",207,20
"2020-04-08","Equatorial Guinea","赤道几内亚",16,0
"2020-04-08","Eritrea","厄立特里亚",33,0
"2020-04-08","Eswatini","斯威士兰",12,0
"2020-04-08","Ethiopia","埃塞俄比亚",55,2
"2020-04-08","Gabon","加蓬",24,1
"2020-04-08","Gambia","冈比亚",4,1
"2020-04-08","Ghana","加纳",313,6
"2020-04-08","Guinea","几内亚",164,0
"2020-04-08","Guinea-Bissau","几内亚比绍",33,0
"2020-04-08","Kenya","肯尼亚",179,6
"2020-04-08","Liberia","利比里亚",31,4
"2020-04-08","Madagascar","马达加斯加",93,0
"2020-04-08","Malawi","马拉维",8,1
"2020-04-08","Mali","马里",56,6
"2020-04-08","Mauritania","毛里塔尼亚",6,1
"2020-04-08","Mauritius","毛里求斯",273,7
"2020-04-08","Mayotte","马约特岛
",186,2
"2020-04-08","Mozambique","莫桑比克",17,0
"2020-04-08","Namibia","纳米比亚",16,0
"2020-04-08","Niger","尼日尔",342,11
"2020-04-08","Nigeria","尼日利亚",276,6
"2020-04-08","Réunion","留尼汪岛
",362,0
"2020-04-08","Rwanda","卢旺达",110,0
"2020-04-08","Sao Tome and Principe","圣多美和普林西比",4,0
"2020-04-08","Senegal","塞内加尔",244,2
"2020-04-08","Seychelles","塞舌尔",11,0
"2020-04-08","Sierra Leone","塞拉利昂",7,0
"2020-04-08","South Africa","南非",1845,18
"2020-04-08","South Sudan","南苏丹",1,0
"2020-04-08","Togo","多哥",70,3
"2020-04-08","Uganda","乌干达",53,0
"2020-04-08","United Republic of Tanzania","坦桑尼亚联合共和国",25,1
"2020-04-08","Zambia","赞比亚",39,1
"2020-04-08","Zimbabwe","津巴布韦",11,3
"2020-04-08","Afghanistan","阿富汗",444,15
"2020-04-08","Bahrain","巴林",823,5
"2020-04-08","Djibouti","吉布提",135,0
"2020-04-08","Egypt","埃及",1560,103
"2020-04-08","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",64586,3993
"2020-04-08","Iraq","伊拉克",1202,69
"2020-04-08","Jordan","约旦",358,6
"2020-04-08","Kuwait","科威特",855,1
"2020-04-08","Lebanon","黎巴嫩",575,19
"2020-04-08","Libya","利比亚",21,1
"2020-04-08","Morocco","摩洛哥",1275,93
"2020-04-08","occupied Palestinian territory","巴勒斯坦被占领土
",263,1
"2020-04-08","Oman","阿曼",457,2
