"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-24","China","中国",81848,3287
"2020-03-24","Republic of Korea","大韩民国",9137,126
"2020-03-24","Australia","澳大利亚",2252,8
"2020-03-24","Malaysia","马来西亚",1624,16
"2020-03-24","Japan","日本",1193,43
"2020-03-24","Singapore","新加坡",558,2
"2020-03-24","Philippines","菲律宾",552,35
"2020-03-24","New Zealand","新西兰",189,0
"2020-03-24","Viet Nam","越南",134,0
"2020-03-24","Brunei Darussalam","文莱达鲁萨兰国",104,0
"2020-03-24","Cambodia","柬埔寨",91,0
"2020-03-24","Guam","关岛
",32,1
"2020-03-24","French Polynesia","法属波利尼西亚
",25,0
"2020-03-24","Mongolia","蒙古",10,0
"2020-03-24","New Caledonia","新喀里多尼亚
",10,0
"2020-03-24","Fiji","斐济",4,0
"2020-03-24","Lao People's Democratic Republic","老挝人民民主共和国",2,0
"2020-03-24","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-24","Albania","阿尔巴尼亚",146,5
"2020-03-24","Andorra","安道尔",188,1
"2020-03-24","Armenia","亚美尼亚",265,0
"2020-03-24","Austria","奥地利",5282,30
"2020-03-24","Azerbaijan","阿塞拜疆",87,1
"2020-03-24","Belarus","白俄罗斯",81,0
"2020-03-24","Belgium","比利时",4269,122
"2020-03-24","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",164,2
"2020-03-24","Bulgaria","保加利亚",220,3
"2020-03-24","Croatia","克罗地亚",382,1
"2020-03-24","Cyprus","塞浦路斯",124,3
"2020-03-24","Czechia","捷克",1394,3
"2020-03-24","Denmark","丹麦",1591,32
"2020-03-24","Estonia","爱沙尼亚",369,0
"2020-03-24","Faroe Islands","法罗群岛
",122,0
"2020-03-24","Finland","芬兰",792,1
"2020-03-24","France","法国",22025,1100
"2020-03-24","Georgia","格鲁吉亚",73,0
"2020-03-24","Germany","德国",31554,149
"2020-03-24","Gibraltar","直布罗陀
",15,0
"2020-03-24","Greece","希腊",743,20
"2020-03-24","Greenland","格陵兰岛
",4,0
"2020-03-24","Guernsey","根西岛
",23,0
"2020-03-24","Holy See","梵蒂冈
",1,0
"2020-03-24","Hungary","匈牙利",226,10
"2020-03-24","Iceland","冰岛",648,2
"2020-03-24","Ireland","爱尔兰",1329,7
"2020-03-24","Isle of Man","马恩岛
",23,0
"2020-03-24","Israel","以色列",2170,5
"2020-03-24","Italy","意大利",69176,6820
"2020-03-24","Jersey","泽西岛
",16,0
"2020-03-24","Kazakhstan","哈萨克斯坦",79,0
"2020-03-24","Kosovo[1]","科索沃[1]",63,1
"2020-03-24","Kyrgyzstan","吉尔吉斯斯坦",42,0
"2020-03-24","Latvia","拉脱维亚",197,0
"2020-03-24","Liechtenstein","列支敦士登
",47,0
"2020-03-24","Lithuania","立陶宛",209,2
"2020-03-24","Luxembourg","卢森堡",1099,8
"2020-03-24","Malta","马耳他",120,0
"2020-03-24","Monaco","摩纳哥",23,0
"2020-03-24","Montenegro","黑山",29,0
"2020-03-24","Netherlands","荷兰",5560,276
"2020-03-24","North Macedonia","北马其顿",148,2
"2020-03-24","Norway","挪威",2566,10
"2020-03-24","Poland","波兰",901,10
"2020-03-24","Portugal","葡萄牙",2362,33
"2020-03-24","Republic of Moldova","摩尔多瓦共和国",125,1
"2020-03-24","Romania","罗马尼亚",762,11
"2020-03-24","Russian Federation","俄罗斯联邦",658,0
"2020-03-24","San Marino","圣马力诺",187,21
"2020-03-24","Serbia","塞尔维亚",303,3
"2020-03-24","Slovakia","斯洛伐克",204,0
"2020-03-24","Slovenia","斯洛文尼亚",480,3
"2020-03-24","Spain","西班牙",39673,2696
"2020-03-24","Sweden","瑞典",2272,36
"2020-03-24","Switzerland","瑞士",8789,86
"2020-03-24","The United Kingdom","大不列颠及北爱尔兰联合王国",8081,422
"2020-03-24","Turkey","土耳其",1872,44
"2020-03-24","Ukraine","乌克兰",113,4
"2020-03-24","Uzbekistan","乌兹别克斯坦",50,0
"2020-03-24","Thailand","泰国",934,4
"2020-03-24","Indonesia","印度尼西亚",686,55
"2020-03-24","India","印度",562,9
"2020-03-24","Sri Lanka","斯里兰卡",102,0
"2020-03-24","Bangladesh","孟加拉国",39,4
"2020-03-24","Maldives","马尔代夫",13,0
"2020-03-24","Myanmar","缅甸",3,0
"2020-03-24","Bhutan","不丹",2,0
"2020-03-24","Nepal","尼泊尔",2,0
"2020-03-24","Timor-Leste","东帝汶",1,0
"2020-03-24","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",24811,1934
"2020-03-24","Pakistan","巴基斯坦",991,7
"2020-03-24","Saudi Arabia","沙特阿拉伯",767,1
"2020-03-24","Qatar","卡塔尔",526,0
"2020-03-24","Egypt","埃及",402,20
"2020-03-24","Bahrain","巴林",392,3
"2020-03-24","Iraq","伊拉克",316,27
"2020-03-24","Lebanon","黎巴嫩",304,4
"2020-03-24","United Arab Emirates","阿拉伯联合酋长国",248,2
