"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-25","China","中国",81961,3293
"2020-03-25","Republic of Korea","大韩民国",9241,131
"2020-03-25","Australia","澳大利亚",2799,11
"2020-03-25","Malaysia","马来西亚",1796,21
"2020-03-25","Japan","日本",1291,45
"2020-03-25","Philippines","菲律宾",707,45
"2020-03-25","Singapore","新加坡",631,2
"2020-03-25","New Zealand","新西兰",262,0
"2020-03-25","Viet Nam","越南",148,0
"2020-03-25","Brunei Darussalam","文莱达鲁萨兰国",109,0
"2020-03-25","Cambodia","柬埔寨",96,0
"2020-03-25","Guam","关岛
",37,1
"2020-03-25","French Polynesia","法属波利尼西亚
",25,0
"2020-03-25","New Caledonia","新喀里多尼亚
",14,0
"2020-03-25","Mongolia","蒙古",11,0
"2020-03-25","Fiji","斐济",5,0
"2020-03-25","Lao People's Democratic Republic","老挝人民民主共和国",3,0
"2020-03-25","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-25","Italy","意大利",74386,7505
"2020-03-25","Spain","西班牙",47610,3434
"2020-03-25","Germany","德国",36508,198
"2020-03-25","France","法国",24920,1331
"2020-03-25","Switzerland","瑞士",9714,103
"2020-03-25","The United Kingdom","大不列颠及北爱尔兰联合王国",9533,463
"2020-03-25","Netherlands","荷兰",6412,356
"2020-03-25","Austria","奥地利",5888,34
"2020-03-25","Belgium","比利时",4937,178
"2020-03-25","Portugal","葡萄牙",2995,43
"2020-03-25","Norway","挪威",2916,12
"2020-03-25","Sweden","瑞典",2510,42
"2020-03-25","Turkey","土耳其",2433,59
"2020-03-25","Israel","以色列",2369,5
"2020-03-25","Denmark","丹麦",1724,34
"2020-03-25","Czechia","捷克",1654,6
"2020-03-25","Ireland","爱尔兰",1564,9
"2020-03-25","Luxembourg","卢森堡",1333,8
"2020-03-25","Poland","波兰",1051,14
"2020-03-25","Romania","罗马尼亚",906,13
"2020-03-25","Finland","芬兰",880,3
"2020-03-25","Russian Federation","俄罗斯联邦",840,2
"2020-03-25","Greece","希腊",821,22
"2020-03-25","Iceland","冰岛",737,2
"2020-03-25","Slovenia","斯洛文尼亚",528,4
"2020-03-25","Croatia","克罗地亚",418,1
"2020-03-25","Estonia","爱沙尼亚",404,1
"2020-03-25","Serbia","塞尔维亚",384,4
"2020-03-25","Armenia","亚美尼亚",290,0
"2020-03-25","Lithuania","立陶宛",274,4
