"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-29","China","中国",82447,3310
"2020-03-29","Republic of Korea","大韩民国",9661,158
"2020-03-29","Australia","澳大利亚",3966,16
"2020-03-29","Malaysia","马来西亚",2470,34
"2020-03-29","Japan","日本",1866,54
"2020-03-29","Philippines","菲律宾",1418,71
"2020-03-29","Singapore","新加坡",844,3
"2020-03-29","New Zealand","新西兰",552,1
"2020-03-29","Viet Nam","越南",188,0
"2020-03-29","Brunei Darussalam","文莱达鲁萨兰国",126,1
"2020-03-29","Cambodia","柬埔寨",103,0
"2020-03-29","Guam","关岛
",56,1
"2020-03-29","French Polynesia","法属波利尼西亚
",35,0
"2020-03-29","New Caledonia","新喀里多尼亚
",15,0
"2020-03-29","Mongolia","蒙古",12,0
"2020-03-29","Lao People's Democratic Republic","老挝人民民主共和国",8,0
"2020-03-29","Fiji","斐济",5,0
"2020-03-29","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",2,0
"2020-03-29","Papua New Guinea","巴布亚新几内亚",1,0
"2020-03-29","Italy","意大利",97689,10781
"2020-03-29","Spain","西班牙",78797,6528
"2020-03-29","Germany","德国",57298,455
"2020-03-29","France","法国",39642,2602
"2020-03-29","The United Kingdom","大不列颠及北爱尔兰联合王国",19526,1228
"2020-03-29","Switzerland","瑞士",14274,257
"2020-03-29","Netherlands","荷兰",10866,771
"2020-03-29","Belgium","比利时",10836,431
"2020-03-29","Turkey","土耳其",9271,131
"2020-03-29","Austria","奥地利",8813,86
"2020-03-29","Portugal","葡萄牙",5962,119
"2020-03-29","Israel","以色列",4247,15
"2020-03-29","Norway","挪威",4102,22
"2020-03-29","Sweden","瑞典",3700,110
"2020-03-29","Czechia","捷克",2829,16
"2020-03-29","Ireland","爱尔兰",2615,46
"2020-03-29","Denmark","丹麦",2395,72
"2020-03-29","Luxembourg","卢森堡",1950,21
"2020-03-29","Poland","波兰",1862,22
"2020-03-29","Romania","罗马尼亚",1760,40
"2020-03-29","Russian Federation","俄罗斯联邦",1534,10
"2020-03-29","Finland","芬兰",1218,11
"2020-03-29","Greece","希腊",1156,38
"2020-03-29","Iceland","冰岛",1020,2
"2020-03-29","Serbia","塞尔维亚",741,13
"2020-03-29","Slovenia","斯洛文尼亚",730,11
"2020-03-29","Croatia","克罗地亚",713,6
"2020-03-29","Estonia","爱沙尼亚",679,3
"2020-03-29","Lithuania","立陶宛",484,7
"2020-03-29","Armenia","亚美尼亚",482,3
"2020-03-29","Ukraine","乌克兰",480,11
"2020-03-29","Hungary","匈牙利",447,15
"2020-03-29","Latvia","拉脱维亚",376,0
"2020-03-29","Bulgaria","保加利亚",346,8
"2020-03-29","Andorra","安道尔",341,6
"2020-03-29","Slovakia","斯洛伐克",336,0
