"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-11","Afghanistan","阿富汗",7,0
"2020-03-11","Albania","阿尔巴尼亚",23,0
"2020-03-11","Algeria","阿尔及利亚",25,1
"2020-03-11","Andorra","安道尔",1,0
"2020-03-11","Argentina","阿根廷 ",19,1
"2020-03-11","Armenia","亚美尼亚",1,0
"2020-03-11","Australia","澳大利亚",122,3
"2020-03-11","Austria","奥地利",302,1
"2020-03-11","Azerbaijan","阿塞拜疆",11,0
"2020-03-11","Bahrain","巴林",195,0
"2020-03-11","Bangladesh","孟加拉国",3,0
"2020-03-11","Belarus","白俄罗斯",12,0
"2020-03-11","Belgium","比利时",314,0
"2020-03-11","Bhutan","不丹",1,0
"2020-03-11","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",4,0
"2020-03-11","Brazil","巴西",52,0
"2020-03-11","Bulgaria","保加利亚",7,1
"2020-03-11","Cambodia","柬埔寨",5,0
"2020-03-11","Cameroon","喀麦隆",2,0
"2020-03-11","Canada","加拿大",93,1
"2020-03-11","Chile","智利",23,0
"2020-03-11","China","中国",80981,3173
"2020-03-11","Colombia","哥伦比亚",9,0
"2020-03-11","Costa Rica","哥斯达黎加",13,0
"2020-03-11","Croatia","克罗地亚",16,0
"2020-03-11","Czech Republic","捷克",94,0
"2020-03-11","Denmark","丹麦",615,0
"2020-03-11","Dominican Republic","多米尼加 ",5,0
"2020-03-11","Ecuador","厄瓜多尔",17,0
"2020-03-11","Egypt","埃及",67,1
"2020-03-11","Estonia","爱沙尼亚",13,0
"2020-03-11","Faroe Islands","Faroe Islands",2,0
"2020-03-11","Finland","芬兰",40,0
"2020-03-11","France","法国",2281,48
"2020-03-11","French Guiana","French Guiana",5,0
"2020-03-11","Georgia","格鲁吉亚",23,0
"2020-03-11","Germany","德国",1567,3
"2020-03-11","Gibraltar","Gibraltar",1,0
"2020-03-11","Greece","希腊",98,1
"2020-03-11","Holy See","Holy See",1,0
"2020-03-11","Hungary","匈牙利",13,0
"2020-03-11","Iceland","冰岛",61,0
"2020-03-11","India","印度",74,0
"2020-03-11","Indonesia","印度尼西亚",34,1
"2020-03-11","International conveyance (Diamond Princess)","International conveyance (Diamond Princess)",696,7
"2020-03-11","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",9000,354
"2020-03-11","Iraq","伊拉克",70,7
"2020-03-11","Ireland","爱尔兰",43,1
"2020-03-11","Israel","以色列",75,0
"2020-03-11","Italy","意大利",12462,827
"2020-03-11","Japan","日本",620,15
"2020-03-11","Jordan","约旦",1,0
"2020-03-11","Kuwait","科威特",80,0
"2020-03-11","Latvia","拉脱维亚",16,0
"2020-03-11","Lebanon","黎巴嫩",66,3
"2020-03-11","Liechtenstein","Liechtenstein",4,0
"2020-03-11","Lithuania","立陶宛",3,0
"2020-03-11","Luxembourg","卢森堡",17,0
"2020-03-11","Malaysia","马来西亚",129,0
"2020-03-11","Maldives","马尔代夫",8,0
"2020-03-11","Malta","马耳他",6,0
"2020-03-11","Martinique","Martinique",3,0
"2020-03-11","Mexico","墨西哥",11,0
"2020-03-11","Monaco","摩纳哥",1,0
"2020-03-11","Morocco","摩洛哥",5,1
"2020-03-11","Nepal","尼泊尔",1,0
"2020-03-11","Netherlands","荷兰",503,5
"2020-03-11","New Zealand","新西兰",5,0
"2020-03-11","Nigeria","尼日利亚",2,0
"2020-03-11","North Macedonia","北马其顿",7,0
"2020-03-11","Norway","挪威",277,0
"2020-03-11","occupied Palestinian territory","occupied Palestinian territory",31,0
"2020-03-11","Oman","阿曼",18,0
"2020-03-11","Pakistan","巴基斯坦",19,0
"2020-03-11","Paraguay","巴拉圭",5,0
"2020-03-11","Peru","秘鲁",17,0
"2020-03-11","Philippines","菲律宾",52,2
"2020-03-11","Poland","波兰",44,0
"2020-03-11","Portugal","葡萄牙",41,0
"2020-03-11","Qatar","卡塔尔",262,0
"2020-03-11","Republic of Korea","大韩民国",7983,66
