"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-15","Afghanistan","阿富汗",16,0
"2020-03-15","Albania","阿尔巴尼亚",42,1
"2020-03-15","Algeria","阿尔及利亚",49,4
"2020-03-15","Andorra","安道尔",2,0
"2020-03-15","Antigua and Barbuda","安提瓜和巴布达",1,0
"2020-03-15","Argentina","阿根廷 ",56,2
"2020-03-15","Armenia","亚美尼亚",26,0
"2020-03-15","Australia","澳大利亚",336,5
"2020-03-15","Austria","奥地利",959,1
"2020-03-15","Azerbaijan","阿塞拜疆",19,0
"2020-03-15","Bahrain","巴林",221,1
"2020-03-15","Bangladesh","孟加拉国",5,0
"2020-03-15","Belarus","白俄罗斯",36,0
"2020-03-15","Belgium","比利时",1085,5
"2020-03-15","Bhutan","不丹",1,0
"2020-03-15","Bolivia (Plurinational State of)","玻利维亚（多民族国）",11,0
"2020-03-15","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",18,0
"2020-03-15","Brazil","巴西",200,0
"2020-03-15","Brunei Darussalam","文莱达鲁萨兰国",50,0
"2020-03-15","Bulgaria","保加利亚",51,2
"2020-03-15","Burkina Faso","布基纳法索",3,0
"2020-03-15","Cambodia","柬埔寨",12,0
"2020-03-15","Cameroon","喀麦隆",5,0
"2020-03-15","Canada","加拿大",304,1
"2020-03-15","Cayman Islands","Cayman Islands",1,1
"2020-03-15","Central African Republic","中非共和国",1,0
"2020-03-15","Chile","智利",75,0
"2020-03-15","Colombia","哥伦比亚",24,0
"2020-03-15","Congo","刚果",1,0
"2020-03-15","Costa Rica","哥斯达黎加",23,0
"2020-03-15","Cote d Ivoire","科特迪瓦",3,0
"2020-03-15","Croatia","克罗地亚",49,0
"2020-03-15","Cuba","古巴",4,0
"2020-03-15","Curacao","Curacao",2,0
"2020-03-15","Cyprus","塞浦路斯",33,0
"2020-03-15","Czechia","捷克",298,0
"2020-03-15","Democratic Republic of the Congo","刚果民主共和国",2,0
"2020-03-15","Denmark","丹麦",898,1
"2020-03-15","Dominican Republic","多米尼加 ",5,0
"2020-03-15","Ecuador","厄瓜多尔",37,2
"2020-03-15","Egypt","埃及",126,2
"2020-03-15","Equatorial Guinea","赤道几内亚",1,0
"2020-03-15","Estonia","爱沙尼亚",205,0
"2020-03-15","Eswatini","斯威士兰",1,0
"2020-03-15","Ethiopia","埃塞俄比亚",1,0
"2020-03-15","Faroe Islands","Faroe Islands",11,0
"2020-03-15","Finland","芬兰",272,0
"2020-03-15","France","法国",5380,127
"2020-03-15","French Guiana","French Guiana",7,0
"2020-03-15","French Polynesia","French Polynesia",3,0
"2020-03-15","Gabon","加蓬",1,0
"2020-03-15","Georgia","格鲁吉亚",33,0
"2020-03-15","Germany","德国",4838,12
"2020-03-15","Ghana","加纳",2,0
"2020-03-15","Gibraltar","Gibraltar",1,0
"2020-03-15","Greece","希腊",331,4
"2020-03-15","Guadeloupe","Guadeloupe",6,0
"2020-03-15","Guernsey","Guernsey",1,0
"2020-03-15","Guinea","几内亚",1,0
"2020-03-15","Guyana","圭亚那",4,1
"2020-03-15","Holy See","Holy See",1,0
"2020-03-15","Honduras","洪都拉斯",2,0
"2020-03-15","Hungary","匈牙利",32,1
"2020-03-15","Iceland","冰岛",138,0
"2020-03-15","India","印度",114,2
"2020-03-15","Indonesia","印度尼西亚",134,4
"2020-03-15","International conveyance (Diamond Princess)","International conveyance (Diamond Princess)",712,7
"2020-03-15","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",14991,853
"2020-03-15","Iraq","伊拉克",124,9
"2020-03-15","Ireland","爱尔兰",169,2
"2020-03-15","Israel","以色列",250,0
"2020-03-15","Italy","意大利",24747,1809
"2020-03-15","Jamaica","牙买加",10,0
"2020-03-15","Japan","日本",814,24
"2020-03-15","Jersey","Jersey",2,0
"2020-03-15","Jordan","约旦",6,0
"2020-03-15","Kazakhstan","哈萨克斯坦",6,0
